adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/xLW4UQ4zYf7fHrei9pqx4fJsfKy.jpg,"[53, 80]",199373,en,The Frozen Ground,An Alaska State Trooper partners with a young woman who escaped the clutches of serial killer Robert Hansen to bring the murderer to justice. Based on actual events.,2.4923,/hHDj1h3lJvYd9Cervoswz9crhWg.jpg,2013-07-11,The Frozen Ground,False,6.28,1559
False,/7bXsWwEkqrjCEAykNR9D5EspTLD.jpg,"[878, 53]",174772,en,Europa Report,A crew of international astronauts are sent on a private mission to Jupiter's fourth moon.,1.315,/tbsfaBjiAW5vfrV06R8KCOzVOYy.jpg,2013-06-27,Europa Report,False,6.281,1503
False,/cb3ivKXzyveKMvaD72IpKX9JVys.jpg,"[35, 80, 28]",134374,en,Pain & Gain,"Daniel Lugo, manager of the Sun Gym in 1990s Miami, decides that there is only one way to achieve his version of the American dream: extortion. To achieve his goal, he recruits musclemen Paul and Adrian as accomplices. After several failed attempts, they abduct rich businessman Victor Kershaw and convince him to sign over all his assets to them. But when Kershaw makes it out alive, authorities are reluctant to believe his story.",3.9585,/9WqA0Ry9wmTzFvom8mNbcyKZQgP.jpg,2013-04-18,Pain & Gain,False,6.28,4737
False,/zHTnieWaWlObW2wLQO3ePkwHlom.jpg,"[14, 12, 28]",16441,en,The Beastmaster,"Dar, is the son of a king, who's hunted by a priest after his birth and grows up in another family. When he becomes a grown man, his new father is murdered by savages and he discovers that he's the ability to communicate with the animals, which leads him on his quest for revenge against his father's killers.",13.7814,/ytaKNYpHdQnClTbWL2m19Xv6PXZ.jpg,1982-08-16,The Beastmaster,False,6.28,445
False,/9zMbyilain3lcbX16fZwEkIBMLB.jpg,"[27, 9648]",13515,en,Mirrors,An ex-cop and his family are the target of an evil force that is using mirrors as a gateway into their home.,2.4846,/bt5a4ThyLpLTsia2e2ZTLzQjXO0.jpg,2008-08-14,Mirrors,False,6.28,1990
False,/qV4zzpe4mfXnmFIOL6uugnUcM9R.jpg,"[878, 28]",11484,en,Rollerball,"In a corporate-controlled future, an ultra-violent sport known as Rollerball represents the world, and one of its powerful athletes is out to defy those who want him out of the game.",1.0505,/cmcipEfexlhVLYQXqeSWp1YcsPY.jpg,1975-06-25,Rollerball,False,6.28,594
False,/osOhM0NS9DG9jbJcrk49tDM2aTf.jpg,"[27, 35, 53]",5072,en,Severance,Seven employees of an international weapons manufacturer are treated to a team-building weekend at the company’s newly built luxury spa lodge. Things quickly go awry as the colleagues find their corporate weekend sabotaged by a deadly enemy.,2.0784,/yg1XRTyH5knwh3Tnij2sUV0ZZ5w.jpg,2006-05-19,Severance,False,6.282,657
False,/llMc0bO5G8jpkMqqcLNy7Y8LYBf.jpg,"[80, 18, 35]",541305,en,Kajillionaire,"Two con artists have spent 26 years training their only daughter to swindle, scam and steal at every turn. During a desperate and hastily conceived heist, they charm a stranger into joining them, only to have their entire world turned upside down.",3.2101,/fkqJJDb4u9rEyJu8Jm8H1P2mux4.jpg,2020-09-25,Kajillionaire,False,6.278,523
False,/2PCcEJ1lUJgir598yMGXkluJa6y.jpg,"[878, 28, 12, 10751]",438590,en,A-X-L,The life of a teenage boy is forever altered by a chance encounter with cutting edge military technology.,2.0242,/9kB56ZdMB6RgY5QtX9Bar45jCeI.jpg,2018-08-23,A-X-L,False,6.278,1215
False,/5ceIqlRzWH4x1IPU9OfjXHO2Kz6.jpg,"[10751, 35, 16, 878, 28]",268531,en,Captain Underpants: The First Epic Movie,"Based on the bestselling book series, this outrageous comedy tells the story of George and Harold,  two overly imaginative pranksters who hypnotize their principal into thinking he’s an enthusiastic, yet dimwitted, superhero named Captain Underpants.",4.9096,/vKSmaPct5OEeMoD8ue30RisHlKD.jpg,2017-06-01,Captain Underpants: The First Epic Movie,False,6.278,1330
False,/zbTaYrQzZaaEf1SZlv3RTZiUvZw.jpg,"[18, 10749]",86331,fr,Q,"In a social context deteriorated by a countrywide economic crisis, the life of several people will be turned upside down after they meet Cécile, a character who symbolizes desire.",10.9402,/wxvvNXY3n0637cOcdeC61eyVAnC.jpg,2011-10-06,Desire,False,6.278,1350
False,/iAmTmSUzpxrxz1KJwhrXsdMFRfi.jpg,"[27, 35]",75761,en,John Dies at the End,"A new drug promises out-of-body experiences, but users are coming back changed forever, and an otherworldly invasion of Earth is underway.",4.1167,/1IsviP0Tb05xUAFWz5b7FJ0qIHP.jpg,2013-01-25,John Dies at the End,False,6.278,714
False,/3UPdg8QO6CF5UqmOIJoLKhRM6e.jpg,"[16, 10751, 14]",59981,en,Legends of Oz: Dorothy's Return,"Dorothy wakes in post-tornado Kansas, only to be whisked back to Oz to try to save her old friends, the Scarecrow, the Lion, the Tin Man, and Glinda, from a devious new villain, the Jester. New comrades Wiser the Owl, Marshal Mallow, China Princess, and Tugg the Tugboat join Dorothy on her latest magical journey through the colorful landscape of Oz to restore order and happiness to Emerald City.",1.0083,/5XiNCjFudNX0Wj5LanPuIb8E9pU.jpg,2014-05-08,Legends of Oz: Dorothy's Return,False,6.3,371
False,/pacFbnIUi8ew2VZOy7fpBS7vR8k.jpg,"[10752, 18, 28, 12, 36]",10105,en,Saints and Soldiers,Five American soldiers fighting in Europe during World War II struggle to return to Allied territory after being separated from U.S. forces during the historic Malmedy Massacre.,0.8229,/A4LgmMTiRpkEzC6pxRcxE28IDov.jpg,2003-09-11,Saints and Soldiers,False,6.278,300
False,/2ha0wAOqrUcLScStWQcgeOOXapQ.jpg,"[10749, 14, 18]",1241921,en,A Big Bold Beautiful Journey,"Sarah and David are single strangers who meet at a mutual friend’s wedding and soon, through a surprising twist of fate, find themselves on a funny, fantastical, sweeping adventure together where they get to re-live important moments from their respective pasts, illuminating how they got to where they are in the present... and possibly getting a chance to alter their futures.",4.6472,/uMAkmQlKthQpTMiyPAKOYK3JnMs.jpg,2025-09-17,A Big Bold Beautiful Journey,False,6.28,320
False,/53rHETjQOfCSajPki5HGfd3FQtG.jpg,"[14, 28]",452015,ko,염력,"An ordinary guy suddenly finds he has superpowers he can use to help his spirited daughter and the people around them, but he also runs into trouble in the process.",1.2365,/tyTAYYWHyfDcAXYmNa0ifm1JrD.jpg,2018-01-31,Psychokinesis,False,6.3,334
False,/lAs4Y5a8Pi86xDwuv8cx2prOVI2.jpg,"[12, 10751, 14, 10749]",447277,en,The Little Mermaid,"The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.",12.3078,/ym1dxyOk4jFcSl4Q2zmRrA5BEEN.jpg,2023-05-18,The Little Mermaid,False,6.277,3253
False,/gYhheyDkKanBAN2JAi7ZuPiwH36.jpg,"[27, 9648]",296065,en,Last Shift,"Rookie police officer Jessica Loren has been assigned the last shift at a closing police station and must wait for a hazmat crew to collect biomedical evidence. Ordered not to leave the station under any circumstances, Jessica comes to learn that it's more than just an outdated station, it's home to the ultimate embodiment of evil and his devoted bloodthirsty followers. Jessica is left to fend for herself in the Devil's playground.",1.8866,/oSTFMqFpVB4yq9SOIxBp8xZ9jh5.jpg,2014-10-25,Last Shift,False,6.277,686
False,/iRSRs1RRIXzYt7geifmSeg7qCdr.jpg,"[12, 14]",10730,en,King Kong,An oil company expedition disturbs the peace of a giant ape and brings him back to New York to exploit him.,2.6963,/paYKhEwUaxKA05vmOfU7FlleTln.jpg,1976-09-08,King Kong,False,6.277,909
False,/anl65DJYFyp2m0lXaFvlCrSOT8E.jpg,[18],567690,en,Dear Evan Hansen,"Evan Hansen, a high schooler with social anxiety, unintentionally gets caught up in a lie after the family of a classmate who committed suicide mistakes one of Hansen’s letters for their son’s suicide note.",1.3348,/hKjBQhsnCMt86kPKpPwV4meeFPo.jpg,2021-09-24,Dear Evan Hansen,False,6.276,362
False,/2Dk9WG8R0PYlgZjo5F9iheKybpO.jpg,"[27, 9648]",505058,en,Unfriended: Dark Web,"​When a 20-something finds a cache of hidden files on his new laptop, he and his friends are unwittingly thrust into the depths of the dark web. They soon discover someone has been watching their every move and will go to unimaginable lengths to protect the dark web.",5.0624,/nOXuOeD07nZPT29IgiGT0S8PZH.jpg,2018-07-19,Unfriended: Dark Web,False,6.276,1640
False,/jfnTuPMeksH5tnh9U4y6kRhz18s.jpg,"[18, 14, 878]",339967,en,Colossal,A woman discovers that severe catastrophic events are somehow connected to the mental breakdown from which she's suffering.,4.0243,/4VOyofBd1pexblxtDZYtYIk7NI4.jpg,2017-04-06,Colossal,False,6.276,2230
False,/kcWYiBWej3JdYbGEVaKYAQGfqYp.jpg,"[16, 10751, 10402]",15947,en,The Three Caballeros,"For Donald's birthday he receives a box with three gifts inside. The gifts, a movie projector, a pop-up book, and a pinata, each take Donald on wild adventures through Mexico and South America.",1.6044,/nMfScRxw9wVLoO7LiEjziFAKLSK.jpg,1944-12-21,The Three Caballeros,False,6.276,759
False,/650GtWNvw78YKebPTAgY3xxZWQs.jpg,"[18, 53, 80]",13641,en,The Air I Breathe,"A gambler’s bet spiraling into chaos, a gangster's prophetic visions, a pop star’s dark entanglement, a doctor’s desperate race against time to rescue his beloved... Four interconnected stories reveal life unfolding through four emotional pillars — joy, passion, grief, and love.",1.16,/hx89b5sinoXmkMNyK1PUgwjWQX4.jpg,2007-02-07,The Air I Breathe,False,6.276,388
